Date,FIPSCode,Month In Effect,Date In Effect,Mask Use Perc
07/16/2020,1001,4,07/2020,0.739
07/16/2020,1003,4,07/2020,0.759
07/16/2020,1005,4,07/2020,0.692
07/16/2020,1007,4,07/2020,0.85
07/16/2020,1009,4,07/2020,0.653
07/16/2020,1011,4,07/2020,0.786
07/16/2020,1013,4,07/2020,0.588
07/16/2020,1015,4,07/2020,0.609
07/16/2020,1017,4,07/2020,0.696
07/16/2020,1019,4,07/2020,0.678
07/16/2020,1021,4,07/2020,0.812
07/16/2020,1023,4,07/2020,0.787
07/16/2020,1025,4,07/2020,0.698
07/16/2020,1027,4,07/2020,0.498
07/16/2020,1029,4,07/2020,0.585
07/16/2020,1031,4,07/2020,0.652
07/16/2020,1033,4,07/2020,0.669
07/16/2020,1035,4,07/2020,0.591
07/16/2020,1037,4,07/2020,0.647
07/16/2020,1039,4,07/2020,0.557
07/16/2020,1041,4,07/2020,0.649
07/16/2020,1043,4,07/2020,0.596
07/16/2020,1045,4,07/2020,0.68
07/16/2020,1047,4,07/2020,0.646
07/16/2020,1049,4,07/2020,0.759
07/16/2020,1051,4,07/2020,0.737
07/16/2020,1053,4,07/2020,0.672
07/16/2020,1055,4,07/2020,0.623
07/16/2020,1057,4,07/2020,0.662
07/16/2020,1059,4,07/2020,0.64
07/16/2020,1061,4,07/2020,0.603
07/16/2020,1063,4,07/2020,0.79
07/16/2020,1065,4,07/2020,0.83
07/16/2020,1067,4,07/2020,0.696
07/16/2020,1069,4,07/2020,0.701
07/16/2020,1071,4,07/2020,0.709
07/16/2020,1073,4,07/2020,0.807
07/16/2020,1075,4,07/2020,0.716
07/16/2020,1077,4,07/2020,0.648
07/16/2020,1079,4,07/2020,0.67
07/16/2020,1081,4,07/2020,0.745
07/16/2020,1083,4,07/2020,0.731
07/16/2020,1085,4,07/2020,0.663
07/16/2020,1087,4,07/2020,0.717
07/16/2020,1089,4,07/2020,0.766
07/16/2020,1091,4,07/2020,0.698
07/16/2020,1093,4,07/2020,0.56
07/16/2020,1095,4,07/2020,0.732
07/16/2020,1097,4,07/2020,0.75
07/16/2020,1099,4,07/2020,0.666
07/16/2020,1101,4,07/2020,0.725
07/16/2020,1103,4,07/2020,0.763
07/16/2020,1105,4,07/2020,0.805
07/16/2020,1107,4,07/2020,0.741
07/16/2020,1109,4,07/2020,0.663
07/16/2020,1111,4,07/2020,0.512
07/16/2020,1113,4,07/2020,0.783
07/16/2020,1115,4,07/2020,0.695
07/16/2020,1117,4,07/2020,0.785
07/16/2020,1119,4,07/2020,0.759
07/16/2020,1121,4,07/2020,0.53
07/16/2020,1123,4,07/2020,0.702
07/16/2020,1125,4,07/2020,0.779
07/16/2020,1127,4,07/2020,0.685
07/16/2020,1129,4,07/2020,0.802
07/16/2020,1131,4,07/2020,0.642
07/16/2020,1133,4,07/2020,0.495
,2013,8,,0.867
,2016,8,,0.861
06/29/2020,2020,3,06/2020,0.859
,2050,8,,0.863
,2060,8,,0.872
,2068,8,,0.79
06/11/2020,2070,3,06/2020,0.875
,2090,8,,0.647
,2100,8,,0.771
07/13/2020,2105,4,07/2020,0.755
07/20/2020,2110,4,07/2020,0.749
07/01/2020,2122,4,07/2020,0.859
,2130,8,,0.652
,2150,8,,0.866
,2164,8,,0.87
,2170,8,,0.858
,2180,8,,0.844
,2185,8,,0.67
,2188,8,,0.726
,2198,8,,0.68
,2220,8,,0.738
,2230,8,,0.789
,2240,8,,0.725
04/23/2020,2261,1,04/2020,0.86
,2275,8,,0.686
,2282,8,,0.862
,2290,8,,0.783
,4001,8,,0.851
,4003,8,,0.775
06/20/2020,4005,3,06/2020,0.812
,4007,8,,0.883
,4009,8,,0.602
,4011,8,,0.633
,4012,8,,0.743
06/20/2020,4013,3,06/2020,0.892
,4015,8,,0.749
,4017,8,,0.741
,4019,8,,0.88
,4021,8,,0.815
06/19/2020,4023,3,06/2020,0.911
,4025,8,,0.815
06/18/2020,4027,3,06/2020,0.933
07/21/2020,5001,4,07/2020,0.773
07/22/2020,5003,4,07/2020,0.712
07/23/2020,5005,4,07/2020,0.638
07/24/2020,5007,4,07/2020,0.803
07/25/2020,5009,4,07/2020,0.605
07/26/2020,5011,4,07/2020,0.629
07/27/2020,5013,4,07/2020,0.615
07/28/2020,5015,4,07/2020,0.706
07/29/2020,5017,4,07/2020,0.628
07/30/2020,5019,4,07/2020,0.749
07/31/2020,5021,4,07/2020,0.637
08/01/2020,5023,5,08/2020,0.805
08/02/2020,5025,5,08/2020,0.703
08/03/2020,5027,5,08/2020,0.633
08/04/2020,5029,5,08/2020,0.672
08/05/2020,5031,5,08/2020,0.661
08/06/2020,5033,5,08/2020,0.578
08/07/2020,5035,5,08/2020,0.814
08/08/2020,5037,5,08/2020,0.723
08/09/2020,5039,5,08/2020,0.655
08/10/2020,5041,5,08/2020,0.698
08/11/2020,5043,5,08/2020,0.682
08/12/2020,5045,5,08/2020,0.829
08/13/2020,5047,5,08/2020,0.527
08/14/2020,5049,5,08/2020,0.548
08/15/2020,5051,5,08/2020,0.806
08/16/2020,5053,5,08/2020,0.747
08/17/2020,5055,5,08/2020,0.643
08/18/2020,5057,5,08/2020,0.733
08/19/2020,5059,5,08/2020,0.776
08/20/2020,5061,5,08/2020,0.705
08/21/2020,5063,5,08/2020,0.619
